in s,C2 in V
-5.950944E-04,-8.05664E-04
-5.950848E-04,-8.54492E-04
-5.950752E-04,-1.24512E-03
-5.950656E-04,-8.54492E-04
-5.950560E-04,-5.61523E-04
-5.950464E-04,-3.66211E-04
-5.950368E-04,-5.61523E-04
-5.950272E-04,-9.52148E-04
-5.950176E-04,-1.29395E-03
-5.950080E-04,-1.09863E-03
-5.949984E-04,-1.09863E-03
-5.949888E-04,-7.56836E-04
-5.949792E-04,-4.63867E-04
-5.949696E-04,-5.61523E-04
-5.949600E-04,-1.68457E-03
-5.949504E-04,-1.63574E-03
-5.949408E-04,-1.83105E-03
-5.949312E-04,-9.03320E-04
-5.949216E-04,-6.10352E-04
-5.949120E-04,-6.10352E-04
-5.949024E-04,-6.59180E-04
-5.948928E-04,-5.61523E-04
-5.948832E-04,-9.52148E-04
-5.948736E-04,-1.00098E-03
-5.948640E-04,-1.19629E-03
-5.948544E-04,-1.00098E-03
-5.948448E-04,-1.19629E-03
-5.948352E-04,-1.00098E-03
-5.948256E-04,-1.09863E-03
-5.948160E-04,-9.03320E-04
-5.948064E-04,-8.05664E-04
-5.947968E-04,-3.17383E-04
-5.947872E-04,-5.61523E-04
-5.947776E-04,-9.03320E-04
-5.947680E-04,-1.48926E-03
-5.947584E-04,-1.34277E-03
-5.947488E-04,-1.24512E-03
-5.947392E-04,-1.00098E-03
-5.947296E-04,-8.05664E-04
-5.947200E-04,-7.56836E-04
-5.947104E-04,-9.03320E-04
-5.947008E-04,-1.48926E-03
-5.946912E-04,-1.78223E-03
-5.946816E-04,-1.68457E-03
-5.946720E-04,-1.24512E-03
-5.946624E-04,-6.10352E-04
-5.946528E-04,-4.15039E-04
-5.946432E-04,-6.10352E-04
-5.946336E-04,-1.14746E-03
-5.946240E-04,-1.24512E-03
-5.946144E-04,-1.73340E-03
-5.946048E-04,-1.34277E-03
-5.945952E-04,-1.24512E-03
-5.945856E-04,-1.00098E-03
-5.945760E-04,-7.08008E-04
-5.945664E-04,-9.03320E-04
-5.945568E-04,-8.54492E-04
-5.945472E-04,-8.05664E-04
-5.945376E-04,-9.52148E-04
-5.945280E-04,-1.48926E-03
-5.945184E-04,-2.12402E-03
-5.945088E-04,-1.73340E-03
-5.944992E-04,-1.14746E-03
-5.944896E-04,-8.54492E-04
-5.944800E-04,-6.59180E-04
-5.944704E-04,-4.15039E-04
-5.944608E-04,-1.04980E-03
-5.944512E-04,-1.39160E-03
-5.944416E-04,-1.48926E-03
-5.944320E-04,-1.39160E-03
-5.944224E-04,-1.00098E-03
-5.944128E-04,-4.63867E-04
-5.944032E-04,-3.66211E-04
-5.943936E-04,-9.03320E-04
-5.943840E-04,-1.73340E-03
-5.943744E-04,-1.97754E-03
-5.943648E-04,-2.07520E-03
-5.943552E-04,-1.39160E-03
-5.943456E-04,-1.14746E-03
-5.943360E-04,-6.10352E-04
-5.943264E-04,-6.10352E-04
-5.943168E-04,-7.08008E-04
-5.943072E-04,-1.14746E-03
-5.942976E-04,-1.00098E-03
-5.942880E-04,-1.14746E-03
-5.942784E-04,-1.00098E-03
-5.942688E-04,-1.39160E-03
-5.942592E-04,-1.29395E-03
-5.942496E-04,-1.53809E-03
-5.942400E-04,-1.39160E-03
-5.942304E-04,-1.04980E-03
-5.942208E-04,-5.61523E-04
-5.942112E-04,-7.56836E-04
-5.942016E-04,-8.54492E-04
-5.941920E-04,-1.44043E-03
-5.941824E-04,-1.53809E-03
-5.941728E-04,-1.53809E-03
-5.941632E-04,-1.04980E-03
-5.941536E-04,-6.59180E-04
-5.941440E-04,-7.56836E-04
-5.941344E-04,-8.54492E-04
-5.941248E-04,-1.44043E-03
-5.941152E-04,-1.97754E-03
-5.941056E-04,-1.83105E-03
-5.940960E-04,-1.73340E-03
-5.940864E-04,-1.19629E-03
-5.940768E-04,-1.14746E-03
-5.940672E-04,-8.05664E-04
-5.940576E-04,-1.29395E-03
-5.940480E-04,-1.04980E-03
-5.940384E-04,-1.34277E-03
-5.940288E-04,-1.09863E-03
-5.940192E-04,-1.00098E-03
-5.940096E-04,-1.29395E-03
-5.940000E-04,-1.73340E-03
-5.939904E-04,-1.68457E-03
-5.939808E-04,-1.53809E-03
-5.939712E-04,-1.24512E-03
-5.939616E-04,-1.00098E-03
-5.939520E-04,-7.08008E-04
-5.939424E-04,-1.24512E-03
-5.939328E-04,-1.14746E-03
-5.939232E-04,-1.29395E-03
-5.939136E-04,-1.14746E-03
-5.939040E-04,-8.05664E-04
-5.938944E-04,-5.61523E-04
-5.938848E-04,-1.04980E-03
-5.938752E-04,-1.24512E-03
-5.938656E-04,-1.73340E-03
-5.938560E-04,-1.73340E-03
-5.938464E-04,-1.73340E-03
-5.938368E-04,-1.39160E-03
-5.938272E-04,-9.52148E-04
-5.938176E-04,-7.56836E-04
-5.938080E-04,-1.44043E-03
-5.937984E-04,-1.78223E-03
-5.937888E-04,-1.97754E-03
-5.937792E-04,-1.78223E-03
-5.937696E-04,-1.48926E-03
-5.937600E-04,-1.19629E-03
-5.937504E-04,-1.14746E-03
-5.937408E-04,-1.29395E-03
-5.937312E-04,-1.53809E-03
-5.937216E-04,-1.44043E-03
-5.937120E-04,-1.19629E-03
-5.937024E-04,-9.03320E-04
-5.936928E-04,-1.00098E-03
-5.936832E-04,-9.03320E-04
-5.936736E-04,-1.87988E-03
-5.936640E-04,-1.39160E-03
-5.936544E-04,-1.68457E-03
-5.936448E-04,-1.14746E-03
-5.936352E-04,-1.14746E-03
-5.936256E-04,-1.04980E-03
-5.936160E-04,-1.44043E-03
