in s,C1 in V
-1.1877660E-02,1.640396E+00
-1.1877476E-02,1.644058E+00
-1.1877292E-02,1.643295E+00
-1.1877108E-02,1.646957E+00
-1.1876924E-02,1.649399E+00
-1.1876740E-02,1.651077E+00
-1.1876556E-02,1.652298E+00
-1.1876372E-02,1.654434E+00
-1.1876188E-02,1.657333E+00
-1.1876004E-02,1.660538E+00
-1.1875820E-02,1.659470E+00
-1.1875636E-02,1.665726E+00
-1.1875452E-02,1.664658E+00
-1.1875268E-02,1.665573E+00
-1.1875084E-02,1.668015E+00
-1.1874900E-02,1.674118E+00
-1.1874716E-02,1.674576E+00
-1.1874532E-02,1.677322E+00
-1.1874348E-02,1.677170E+00
-1.1874164E-02,1.680832E+00
-1.1873980E-02,1.683273E+00
-1.1873796E-02,1.684341E+00
-1.1873612E-02,1.686172E+00
-1.1873428E-02,1.689987E+00
-1.1873244E-02,1.689835E+00
-1.1873060E-02,1.691360E+00
-1.1872876E-02,1.694412E+00
-1.1872692E-02,1.696548E+00
-1.1872508E-02,1.696854E+00
-1.1872324E-02,1.698685E+00
-1.1872140E-02,1.701126E+00
-1.1871956E-02,1.704483E+00
-1.1871772E-02,1.706924E+00
-1.1871588E-02,1.708145E+00
-1.1871404E-02,1.708755E+00
-1.1871220E-02,1.712418E+00
-1.1871036E-02,1.715317E+00
-1.1870852E-02,1.718369E+00
-1.1870668E-02,1.719894E+00
-1.1870484E-02,1.719894E+00
-1.1870300E-02,1.723099E+00
-1.1870116E-02,1.725388E+00
-1.1869932E-02,1.725693E+00
-1.1869748E-02,1.730118E+00
-1.1869564E-02,1.732407E+00
-1.1869380E-02,1.733475E+00
-1.1869196E-02,1.733932E+00
-1.1869012E-02,1.736984E+00
-1.1868828E-02,1.740341E+00
-1.1868644E-02,1.740799E+00
-1.1868460E-02,1.741867E+00
-1.1868276E-02,1.745987E+00
-1.1868092E-02,1.745377E+00
-1.1867908E-02,1.749039E+00
-1.1867724E-02,1.750717E+00
-1.1867540E-02,1.754074E+00
-1.1867356E-02,1.755600E+00
-1.1867172E-02,1.756210E+00
-1.1866988E-02,1.756516E+00
-1.1866804E-02,1.761398E+00
-1.1866620E-02,1.762009E+00
-1.1866436E-02,1.763535E+00
-1.1866252E-02,1.767807E+00
-1.1866068E-02,1.770096E+00
-1.1865884E-02,1.770706E+00
-1.1865700E-02,1.771317E+00
-1.1865516E-02,1.777115E+00
-1.1865332E-02,1.777878E+00
-1.1865148E-02,1.778641E+00
-1.1864964E-02,1.780319E+00
-1.1864780E-02,1.782913E+00
-1.1864596E-02,1.787491E+00
-1.1864412E-02,1.788254E+00
-1.1864228E-02,1.790085E+00
-1.1864044E-02,1.792526E+00
-1.1863860E-02,1.794357E+00
-1.1863676E-02,1.796036E+00
-1.1863492E-02,1.798172E+00
-1.1863308E-02,1.798935E+00
-1.1863124E-02,1.804276E+00
-1.1862940E-02,1.805801E+00
-1.1862756E-02,1.804581E+00
-1.1862572E-02,1.806717E+00
-1.1862388E-02,1.810684E+00
-1.1862204E-02,1.810532E+00
-1.1862020E-02,1.815109E+00
-1.1861836E-02,1.817551E+00
-1.1861652E-02,1.817703E+00
-1.1861468E-02,1.821671E+00
-1.1861284E-02,1.821671E+00
-1.1861100E-02,1.824875E+00
-1.1860916E-02,1.826553E+00
-1.1860732E-02,1.828842E+00
-1.1860548E-02,1.828079E+00
-1.1860364E-02,1.830368E+00
-1.1860180E-02,1.833115E+00
-1.1859996E-02,1.836929E+00
-1.1859812E-02,1.836014E+00
-1.1859628E-02,1.841049E+00
-1.1859444E-02,1.842117E+00
-1.1859260E-02,1.842422E+00
-1.1859076E-02,1.846542E+00
-1.1858892E-02,1.846695E+00
-1.1858708E-02,1.850967E+00
-1.1858524E-02,1.851425E+00
-1.1858340E-02,1.853409E+00
-1.1858156E-02,1.856918E+00
